time	V(output)
Step Information: Lval=60n Wval=10µ  (Step: 1/25)
2.025000000009413e-02	3.199601e+00
2.025000100009413e-02	1.931535e+00
2.025000125009413e-02	1.790118e+00
2.025000175009413e-02	1.788667e+00
2.025001675009413e-02	1.766166e+00
2.025006475009413e-02	1.733822e+00
2.025012875009413e-02	1.707060e+00
2.025025675009413e-02	1.669507e+00
2.025051275009413e-02	1.617425e+00
2.025102475009413e-02	1.545898e+00
2.025204875009413e-02	1.447384e+00
2.025409675009413e-02	1.313374e+00
2.025819275009413e-02	1.135835e+00
2.026638475009413e-02	9.087398e-01
2.028276875009413e-02	6.355668e-01
2.031553675009413e-02	2.939717e-01
2.032372875009413e-02	2.365765e-01
2.034011275009413e-02	1.636955e-01
2.037288075009413e-02	7.846175e-02
2.043841675009413e-02	1.316432e-02
2.050000000000000e-02	2.286672e-10
2.550000000000000e-02	2.286672e-10
2.551440929991532e-02	2.367155e-10
2.553362169980242e-02	9.750493e-06
2.557204649957661e-02	1.886053e-02
2.564889609912499e-02	3.507353e-01
2.574655234912499e-02	1.381413e+00
2.574807822803124e-02	1.450108e+00
2.574845969775780e-02	1.485281e+00
2.574922263721093e-02	1.573573e+00
2.574941337207421e-02	1.603440e+00
2.574979484180077e-02	1.684028e+00
2.574991405109032e-02	1.722796e+00
2.574997365573510e-02	1.758627e+00
2.574999824265107e-02	1.788994e+00
2.574999999993125e-02	1.799934e+00
2.574999999995399e-02	1.907307e+00
2.574999999999947e-02	2.356060e+00
2.575000000009042e-02	2.951105e+00
2.575000000027232e-02	3.205160e+00
2.575002384335804e-02	3.240309e+00
2.575009536893177e-02	3.280140e+00
2.575038147122670e-02	3.358373e+00
2.575076294095326e-02	3.421738e+00
2.575152588040638e-02	3.509115e+00
2.575305175931263e-02	3.627398e+00
2.575610351712513e-02	3.784096e+00
2.576220703275013e-02	3.988640e+00
2.577441406400013e-02	4.243798e+00
2.579882812650013e-02	4.577375e+00
2.580493164212513e-02	4.636586e+00
2.581713867337513e-02	4.718915e+00
2.584155273587513e-02	4.831216e+00
2.589038086087513e-02	4.968438e+00
2.590258789212513e-02	4.986153e+00
2.592700195462513e-02	4.997154e+00
2.595117187500000e-02	5.000007e+00
2.595166015925026e-02	5.000005e+00
2.595263672775079e-02	5.000000e+00
2.600000000000000e-02	5.000000e+00
3.000000000000000e-02	5.000000e+00
3.002929687500000e-02	5.000000e+00
3.006835937500000e-02	4.982481e+00
3.014648437500000e-02	4.679086e+00
3.024414062500000e-02	3.764323e+00
3.024566650390625e-02	3.705050e+00
3.024871826171875e-02	3.472604e+00
3.024948120117187e-02	3.383511e+00
3.024983882904052e-02	3.305803e+00
3.024999231100082e-02	3.223335e+00
3.024999999986903e-02	3.200076e+00
3.025000000005093e-02	2.500047e+00
3.025000000005140e-02	1.936289e+00
3.025000000005152e-02	1.797729e+00
3.025000000005163e-02	1.798547e+00
3.025000100005163e-02	1.793131e+00
3.025000700005163e-02	1.778412e+00
3.025003100005163e-02	1.754042e+00
3.025012700005163e-02	1.707687e+00
3.025025500005163e-02	1.669956e+00
3.025051100005163e-02	1.617739e+00
3.025102300005163e-02	1.546124e+00
3.025204700005163e-02	1.447545e+00
3.025409500005163e-02	1.313482e+00
3.025819100005163e-02	1.135906e+00
3.026638300005163e-02	9.087855e-01
3.028276700005163e-02	6.355940e-01
3.031553500005163e-02	2.939837e-01
3.032372700005163e-02	2.365865e-01
3.034011100005163e-02	1.637030e-01
3.037287900005163e-02	7.846601e-02
3.043841500005163e-02	1.316541e-02
3.050000000000000e-02	2.286672e-10
3.550000000000000e-02	2.286672e-10
3.551441087495357e-02	2.367164e-10
3.553362537489167e-02	9.825893e-06
3.557205437476788e-02	1.886983e-02
3.564891237452027e-02	3.510039e-01
3.574656862452028e-02	1.382616e+00
3.574809450342652e-02	1.451555e+00
3.574847597315309e-02	1.486933e+00
3.574923891260622e-02	1.575959e+00
3.574942964746949e-02	1.606600e+00
3.574981111719606e-02	1.690114e+00
3.574993032648561e-02	1.730867e+00
3.574998993113038e-02	1.773295e+00
3.574999993120653e-02	1.797783e+00
3.575000000123762e-02	1.799785e+00
3.575000100123762e-02	2.819352e+00
3.575000112623762e-02	3.001521e+00
3.575000137623762e-02	3.209938e+00
3.575000138405012e-02	3.209971e+00
3.575003336842512e-02	3.247654e+00
3.575012936842512e-02	3.293163e+00
3.575051336842512e-02	3.383018e+00
3.575102536842512e-02	3.455653e+00
3.575204936842512e-02	3.554759e+00
3.575409736842512e-02	3.687612e+00
3.575819336842512e-02	3.864190e+00
3.576638536842512e-02	4.091275e+00
3.578276936842512e-02	4.364443e+00
3.581553736842513e-02	4.706032e+00
3.582372936842512e-02	4.763427e+00
3.584011336842512e-02	4.836307e+00
3.587288136842513e-02	4.921540e+00
3.593841736842512e-02	4.986836e+00
3.600000000000000e-02	5.000000e+00
4.000000000000000e-02	5.000000e+00
4.001727738105331e-02	5.000000e+00
4.003702295939995e-02	4.999900e+00
4.007651411609324e-02	4.976943e+00
4.015549642947980e-02	4.850030e+00
4.016770346072981e-02	4.804057e+00
4.019211752322981e-02	4.588786e+00
4.024094564822980e-02	3.903301e+00
4.024247152713605e-02	3.858301e+00
4.024628622440168e-02	3.677041e+00
4.024819357303449e-02	3.540458e+00
4.024914724735090e-02	3.437610e+00
4.024962408450910e-02	3.359323e+00
4.024986250308820e-02	3.296378e+00
4.024998767284223e-02	3.228658e+00
4.024999996630021e-02	3.203244e+00
4.025000005943247e-02	3.170514e+00
4.025000105943247e-02	2.201684e+00
4.025000118443247e-02	2.012670e+00
4.025000143443247e-02	1.789675e+00
4.025000144224497e-02	1.789680e+00
4.025001742661997e-02	1.765464e+00
4.025006542661997e-02	1.733475e+00
4.025012942661997e-02	1.706816e+00
4.025025742661997e-02	1.669336e+00
4.025051342661997e-02	1.617304e+00
4.025102542661997e-02	1.545811e+00
4.025204942661997e-02	1.447322e+00
4.025409742661997e-02	1.313332e+00
4.025819342661997e-02	1.135807e+00
4.026638542661997e-02	9.087222e-01
4.028276942661997e-02	6.355563e-01
4.031553742661997e-02	2.939670e-01
4.032372942661997e-02	2.365727e-01
4.034011342661997e-02	1.636926e-01
4.037288142661997e-02	7.846011e-02
4.043841742661997e-02	1.316390e-02
4.050000000000000e-02	2.286672e-10
4.508456136007011e-02	2.286672e-10
4.550000000000000e-02	2.286672e-10
4.551440869104207e-02	2.367151e-10
4.553362027909817e-02	9.721422e-06
4.557204345521035e-02	1.885694e-02
4.564888980743471e-02	3.506316e-01
4.574654605743472e-02	1.380949e+00
4.574807193634096e-02	1.449550e+00
4.574845340606753e-02	1.484644e+00
4.574921634552066e-02	1.572658e+00
4.574940708038393e-02	1.602345e+00
4.574978855011050e-02	1.682127e+00
4.574990775940005e-02	1.719957e+00
4.574996736404482e-02	1.752836e+00
4.574999716636721e-02	1.785810e+00
4.574999996033494e-02	1.798370e+00
4.575000000690106e-02	1.815311e+00
4.575000100690106e-02	2.797861e+00
4.575000113190106e-02	2.987804e+00
4.575000138190106e-02	3.211702e+00
4.575000138971357e-02	3.211431e+00
4.575003337408857e-02	3.247658e+00
4.575012937408857e-02	3.293164e+00
4.575051337408857e-02	3.383019e+00
4.575102537408857e-02	3.455654e+00
4.575204937408857e-02	3.554759e+00
4.575409737408857e-02	3.687613e+00
4.575819337408857e-02	3.864190e+00
4.576638537408857e-02	4.091275e+00
4.578276937408857e-02	4.364443e+00
4.581553737408857e-02	4.706033e+00
4.582372937408857e-02	4.763427e+00
4.584011337408857e-02	4.836307e+00
4.587288137408857e-02	4.921540e+00
4.593841737408857e-02	4.986836e+00
4.600000000000000e-02	5.000000e+00
5.000000000000000e-02	5.000000e+00
5.001727664367257e-02	5.000000e+00
5.003702137929836e-02	4.999900e+00
5.007651085054995e-02	4.976948e+00
5.015548979305312e-02	4.850057e+00
5.016769682430312e-02	4.804090e+00
5.019211088680312e-02	4.588859e+00
5.024093901180312e-02	3.903537e+00
5.024246489070937e-02	3.858563e+00
5.024627958797499e-02	3.677445e+00
5.024818693660781e-02	3.541066e+00
5.024914061092421e-02	3.438527e+00
5.024961744808241e-02	3.360744e+00
5.024985586666152e-02	3.298826e+00
5.024998103641554e-02	3.236378e+00
5.024999996554687e-02	3.201580e+00
5.024999999992577e-02	3.200059e+00
5.025000000001672e-02	2.527329e+00
5.025000000002054e-02	1.937589e+00
5.025000000002149e-02	1.797997e+00
5.025000000002351e-02	1.798954e+00
5.025000100002523e-02	1.793189e+00
5.025000700002522e-02	1.778412e+00
5.025003100002522e-02	1.754042e+00
5.025012700002522e-02	1.707687e+00
5.025025500002522e-02	1.669956e+00
5.025051100002522e-02	1.617740e+00
5.025102300002522e-02	1.546124e+00
5.025204700002522e-02	1.447545e+00
5.025409500002522e-02	1.313482e+00
5.025819100002522e-02	1.135906e+00
5.026638300002522e-02	9.087855e-01
5.028276700002522e-02	6.355940e-01
5.031553500002522e-02	2.939837e-01
5.032372700002522e-02	2.365865e-01
5.034011100002522e-02	1.637030e-01
5.037287900002523e-02	7.846601e-02
5.043841500002522e-02	1.316541e-02
5.050000000000000e-02	2.286672e-10
5.550000000000000e-02	2.286672e-10
5.551441087497735e-02	2.367164e-10
5.553362537494715e-02	9.825894e-06
5.557205437488674e-02	1.886983e-02
5.564891237476593e-02	3.510039e-01
5.574656862476593e-02	1.382616e+00
5.574809450367218e-02	1.451555e+00
5.574847597339874e-02	1.486933e+00
5.574923891285187e-02	1.575959e+00
5.574942964771515e-02	1.606600e+00
5.574981111744171e-02	1.690114e+00
5.574993032673126e-02	1.730867e+00
5.574998993137604e-02	1.773295e+00
5.574999993145219e-02	1.797788e+00
5.575000000148327e-02	1.799806e+00
5.575000100148327e-02	2.819378e+00
5.575000112648328e-02	3.001537e+00
5.575000137648328e-02	3.209939e+00
5.575000138429578e-02	3.209971e+00
5.575003336867078e-02	3.247655e+00
5.575012936867078e-02	3.293163e+00
5.575051336867078e-02	3.383018e+00
5.575102536867078e-02	3.455653e+00
5.575204936867078e-02	3.554759e+00
5.575409736867078e-02	3.687612e+00
5.575819336867078e-02	3.864190e+00
5.576638536867078e-02	4.091275e+00
5.578276936867078e-02	4.364443e+00
5.581553736867078e-02	4.706032e+00
5.582372936867078e-02	4.763427e+00
5.584011336867078e-02	4.836307e+00
5.587288136867078e-02	4.921540e+00
5.593841736867078e-02	4.986836e+00
5.600000000000000e-02	5.000000e+00
6.000000000000000e-02	5.000000e+00
6.001727734906959e-02	5.000000e+00
6.003702289086341e-02	4.999900e+00
6.007651397445103e-02	4.976943e+00
6.015549614162629e-02	4.850031e+00
6.016770317287629e-02	4.804059e+00
6.019211723537629e-02	4.588789e+00
6.024094536037629e-02	3.903311e+00
6.024247123928254e-02	3.858313e+00
6.024628593654816e-02	3.677059e+00
6.024819328518097e-02	3.540484e+00
6.024914695949738e-02	3.437650e+00
6.024962379665558e-02	3.359385e+00
6.024986221523469e-02	3.296486e+00
6.024998738498871e-02	3.229058e+00
6.025000000459149e-02	3.200383e+00
6.025000100459149e-02	2.202981e+00
6.025000112959149e-02	2.013656e+00
6.025000137959149e-02	1.789858e+00
6.025000138740400e-02	1.789864e+00
6.025001737177900e-02	1.765521e+00
6.025006537177899e-02	1.733503e+00
6.025012937177900e-02	1.706836e+00
6.025025737177900e-02	1.669350e+00
6.025051337177900e-02	1.617314e+00
6.025102537177900e-02	1.545818e+00
6.025204937177900e-02	1.447327e+00
6.025409737177900e-02	1.313335e+00
6.025819337177900e-02	1.135809e+00
6.026638537177900e-02	9.087236e-01
6.028276937177900e-02	6.355572e-01
6.031553737177900e-02	2.939674e-01
6.032372937177900e-02	2.365730e-01
6.034011337177900e-02	1.636928e-01
6.037288137177900e-02	7.846025e-02
6.043841737177900e-02	1.316394e-02
6.050000000000000e-02	2.286672e-10
6.550000000000000e-02	2.286672e-10
6.551440874039882e-02	2.367151e-10
6.553362039426390e-02	9.723777e-06
6.557204370199406e-02	1.885723e-02
6.564889031745438e-02	3.506400e-01
6.574654656745438e-02	1.380987e+00
6.574807244636063e-02	1.449595e+00
6.574845391608719e-02	1.484696e+00
6.574921685554032e-02	1.572732e+00
6.574940759040360e-02	1.602434e+00
6.574978906013015e-02	1.682280e+00
6.574990826941970e-02	1.720183e+00
6.574996787406448e-02	1.753240e+00
6.574999767638687e-02	1.787163e+00
6.574999999998665e-02	1.799978e+00
6.574999999999234e-02	1.971360e+00
6.575000000000371e-02	2.547580e+00
6.575000000002644e-02	3.078414e+00
6.575000000007192e-02	3.204972e+00
6.575002384289333e-02	3.240309e+00
6.575009536846706e-02	3.280140e+00
6.575038147076198e-02	3.358373e+00
6.575076294048854e-02	3.421738e+00
6.575152587994167e-02	3.509115e+00
6.575305175884792e-02	3.627398e+00
6.575610351666042e-02	3.784096e+00
6.576220703228541e-02	3.988640e+00
6.577441406353542e-02	4.243798e+00
6.579882812603542e-02	4.577375e+00
6.580493164166042e-02	4.636586e+00
6.581713867291042e-02	4.718915e+00
6.584155273541042e-02	4.831216e+00
6.589038086041042e-02	4.968438e+00
6.590258789166042e-02	4.986153e+00
6.592700195416043e-02	4.997154e+00
6.595117187499999e-02	5.000007e+00
6.595166015832085e-02	5.000005e+00
6.595263672496259e-02	5.000000e+00
6.600000000000000e-02	5.000000e+00
6.999999999999999e-02	5.000000e+00
7.002929687499999e-02	5.000000e+00
7.006835937499999e-02	4.982481e+00
7.014648437499998e-02	4.679086e+00
7.024414062499998e-02	3.764323e+00
7.024566650390623e-02	3.705050e+00
7.024871826171873e-02	3.472604e+00
7.024948120117186e-02	3.383511e+00
7.024983882904051e-02	3.305803e+00
7.024999231100082e-02	3.223335e+00
7.024999999986903e-02	3.200076e+00
7.025000000005092e-02	2.500035e+00
7.025000000005140e-02	1.943635e+00
7.025000000005152e-02	1.797741e+00
7.025000000005163e-02	1.798547e+00
7.025000100005163e-02	1.793131e+00
7.025000700005163e-02	1.778412e+00
7.025003100005163e-02	1.754042e+00
7.025012700005162e-02	1.707687e+00
7.025025500005162e-02	1.669956e+00
7.025051100005163e-02	1.617739e+00
7.025102300005162e-02	1.546124e+00
7.025204700005162e-02	1.447545e+00
7.025409500005163e-02	1.313482e+00
7.025819100005162e-02	1.135906e+00
7.026638300005163e-02	9.087855e-01
7.028276700005162e-02	6.355940e-01
7.031553500005162e-02	2.939837e-01
7.032372700005163e-02	2.365865e-01
7.034011100005162e-02	1.637030e-01
7.037287900005162e-02	7.846601e-02
7.043841500005163e-02	1.316541e-02
7.049999999999999e-02	2.286672e-10
7.550000000000001e-02	2.286672e-10
7.551441087495336e-02	2.367164e-10
7.553362537489118e-02	9.825893e-06
7.557205437476681e-02	1.886983e-02
7.564891237451807e-02	3.510039e-01
7.574656862451806e-02	1.382616e+00
7.574809450342432e-02	1.451555e+00
7.574847597315087e-02	1.486933e+00
7.574923891260400e-02	1.575959e+00
7.574942964746728e-02	1.606600e+00
7.574981111719384e-02	1.690114e+00
7.574993032648339e-02	1.730867e+00
7.574998993112816e-02	1.773295e+00
7.574999993120432e-02	1.797783e+00
7.575000000123541e-02	1.799784e+00
7.575000100123541e-02	2.819352e+00
7.575000112623541e-02	3.001520e+00
7.575000137623542e-02	3.209938e+00
7.575000138404792e-02	3.209971e+00
7.575003336842293e-02	3.247655e+00
7.575012936842292e-02	3.293163e+00
7.575051336842292e-02	3.383018e+00
7.575102536842292e-02	3.455653e+00
7.575204936842292e-02	3.554759e+00
7.575409736842292e-02	3.687612e+00
7.575819336842292e-02	3.864190e+00
7.576638536842292e-02	4.091275e+00
7.578276936842292e-02	4.364443e+00
7.581553736842292e-02	4.706032e+00
7.582372936842292e-02	4.763427e+00
7.584011336842292e-02	4.836307e+00
7.587288136842292e-02	4.921540e+00
7.593841736842293e-02	4.986836e+00
7.600000000000001e-02	5.000000e+00
8.000000000000000e-02	5.000000e+00
8.001727738131892e-02	5.000000e+00
8.003702295996910e-02	4.999900e+00
8.007651411726947e-02	4.976943e+00
8.015549643187023e-02	4.850030e+00
8.016770346312023e-02	4.804057e+00
8.019211752562024e-02	4.588786e+00
8.024094565062023e-02	3.903301e+00
8.024247152952649e-02	3.858301e+00
8.024628622679211e-02	3.677041e+00
8.024819357542493e-02	3.540458e+00
8.024914724974133e-02	3.437610e+00
8.024962408689953e-02	3.359323e+00
8.024986250547864e-02	3.296377e+00
8.024998767523267e-02	3.228654e+00
8.024999999996590e-02	3.200042e+00
8.024999999998864e-02	3.121986e+00
8.024999999999433e-02	2.898598e+00
8.025000000000569e-02	2.008568e+00
8.025000000000854e-02	1.857594e+00
8.025000000001423e-02	1.797461e+00
8.025000100002933e-02	1.793172e+00
8.025000700002932e-02	1.778412e+00
8.025003100002932e-02	1.754042e+00
8.025012700002931e-02	1.707687e+00
8.025025500002932e-02	1.669956e+00
8.025051100002932e-02	1.617739e+00
8.025102300002931e-02	1.546124e+00
8.025204700002932e-02	1.447545e+00
8.025409500002932e-02	1.313482e+00
8.025819100002932e-02	1.135906e+00
8.026638300002932e-02	9.087855e-01
8.028276700002931e-02	6.355940e-01
8.031553500002932e-02	2.939837e-01
8.032372700002932e-02	2.365865e-01
8.034011100002932e-02	1.637030e-01
8.037287900002932e-02	7.846601e-02
8.043841500002932e-02	1.316541e-02
8.050000000000000e-02	2.286672e-10
8.550000000000001e-02	2.286672e-10
8.551441087497344e-02	2.367164e-10
8.553362537493803e-02	9.825893e-06
8.557205437486719e-02	1.886983e-02
8.564891237472551e-02	3.510039e-01
8.574656862472550e-02	1.382616e+00
8.574809450363176e-02	1.451555e+00
8.574847597335832e-02	1.486933e+00
8.574923891281144e-02	1.575959e+00
8.574942964767472e-02	1.606600e+00
8.574981111740128e-02	1.690114e+00
8.574993032669083e-02	1.730867e+00
8.574998993133560e-02	1.773295e+00
8.574999993141176e-02	1.797787e+00
8.575000000144285e-02	1.799802e+00
8.575000100144285e-02	2.819373e+00
8.575000112644285e-02	3.001534e+00
8.575000137644286e-02	3.209939e+00
8.575000138425536e-02	3.209971e+00
8.575003336863037e-02	3.247655e+00
8.575012936863036e-02	3.293163e+00
8.575051336863036e-02	3.383018e+00
8.575102536863036e-02	3.455653e+00
8.575204936863036e-02	3.554759e+00
8.575409736863036e-02	3.687612e+00
8.575819336863036e-02	3.864190e+00
8.576638536863036e-02	4.091275e+00
8.578276936863036e-02	4.364443e+00
8.581553736863036e-02	4.706032e+00
8.582372936863036e-02	4.763427e+00
8.584011336863036e-02	4.836307e+00
8.587288136863036e-02	4.921540e+00
8.593841736863037e-02	4.986836e+00
8.600000000000001e-02	5.000000e+00
8.677596769705442e-02	5.000000e+00
9.000000000000000e-02	5.000000e+00
9.001727735430834e-02	5.000000e+00
9.003702290208931e-02	4.999900e+00
9.007651399765125e-02	4.976943e+00
9.015549618877512e-02	4.850031e+00
9.016770322002512e-02	4.804058e+00
9.019211728252513e-02	4.588788e+00
9.024094540752513e-02	3.903309e+00
9.024247128643138e-02	3.858311e+00
9.024628598369701e-02	3.677056e+00
9.024819333232982e-02	3.540480e+00
9.024914700664623e-02	3.437644e+00
9.024962384380443e-02	3.359375e+00
9.024986226238353e-02	3.296468e+00
9.024998743213757e-02	3.228993e+00
9.024999998170925e-02	3.200997e+00
9.025000000499232e-02	3.192263e+00
9.025000100499232e-02	2.202976e+00
9.025000112999232e-02	2.013650e+00
9.025000137999233e-02	1.789856e+00
9.025000138780483e-02	1.789863e+00
9.025001737217983e-02	1.765521e+00
9.025006537217983e-02	1.733503e+00
9.025012937217983e-02	1.706836e+00
9.025025737217983e-02	1.669350e+00
9.025051337217983e-02	1.617314e+00
9.025102537217983e-02	1.545818e+00
9.025204937217983e-02	1.447327e+00
9.025409737217983e-02	1.313335e+00
9.025819337217983e-02	1.135809e+00
9.026638537217983e-02	9.087236e-01
9.028276937217983e-02	6.355572e-01
9.031553737217983e-02	2.939674e-01
9.032372937217983e-02	2.365730e-01
9.034011337217983e-02	1.636928e-01
9.037288137217983e-02	7.846025e-02
9.043841737217984e-02	1.316394e-02
9.050000000000000e-02	2.286672e-10
9.550000000000000e-02	2.286672e-10
9.551440874003798e-02	2.367151e-10
9.553362039342195e-02	9.723760e-06
9.557204370018987e-02	1.885723e-02
9.564889031372574e-02	3.506400e-01
9.574654656372573e-02	1.380986e+00
9.574807244263199e-02	1.449595e+00
9.574845391235855e-02	1.484696e+00
9.574921685181167e-02	1.572731e+00
9.574940758667495e-02	1.602433e+00
9.574978905640151e-02	1.682279e+00
9.574990826569106e-02	1.720181e+00
9.574996787033584e-02	1.753237e+00
9.574999767265822e-02	1.787153e+00
9.574999999932755e-02	1.799794e+00
9.575000000005515e-02	2.498771e+00
9.575000000005897e-02	3.064269e+00
9.575000000005993e-02	3.203843e+00
9.575000000006016e-02	3.203499e+00
9.575000100006016e-02	3.207753e+00
9.575000700006016e-02	3.221588e+00
9.575006300006016e-02	3.265318e+00
9.575025500006015e-02	3.330044e+00
9.575051100006016e-02	3.382598e+00
9.575102300006015e-02	3.455366e+00
9.575204700006015e-02	3.554561e+00
9.575409500006016e-02	3.687472e+00
9.575819100006015e-02	3.864093e+00
9.576638300006016e-02	4.091214e+00
9.578276700006015e-02	4.364406e+00
9.581553500006015e-02	4.706016e+00
9.582372700006016e-02	4.763413e+00
9.584011100006015e-02	4.836297e+00
9.587287900006015e-02	4.921534e+00
9.593841500006016e-02	4.986835e+00
9.600000000000000e-02	5.000000e+00
9.997487751121638e-02	5.000000e+00
9.999999999999999e-02	5.000000e+00
Step Information: Lval=150n Wval=8µ  (Step: 9/25)
0.000000000000000e+00	5.000000e+00
3.199999991920777e-05	5.000000e+00
6.399999983841553e-05	4.990630e+00
1.279999996768311e-04	4.830000e+00
2.256562496768311e-04	4.200059e+00
2.378632809268311e-04	3.598274e+00
2.622773434268311e-04	1.226001e+00
2.683808590518311e-04	8.478652e-01
2.805878903018311e-04	6.487262e-01
3.050019528018311e-04	3.675648e-01
3.111054684268311e-04	3.159870e-01
3.233124996768311e-04	2.430476e-01
3.477265621768311e-04	1.437177e-01
3.965546871768311e-04	2.034544e-02
4.023437500000000e-04	1.211439e-02
4.139218756463379e-04	5.722525e-03
4.370781269390137e-04	7.852972e-04
4.536874974146485e-04	3.098815e-10
5.000000000000000e-04	2.858340e-10
5.500858595491304e-03	2.864064e-10
5.518030505317390e-03	2.984950e-10
5.536347209131882e-03	2.073699e-05
5.572980616760865e-03	1.745584e-02
5.646247432018831e-03	3.090744e-01
5.743903682018830e-03	1.226264e+00
5.745429560925081e-03	1.282917e+00
5.748481318737580e-03	1.499151e+00
5.749244258190706e-03	1.577118e+00
5.749434993053987e-03	1.607818e+00
5.749816462780549e-03	1.691901e+00
5.749935672070100e-03	1.733760e+00
5.749983355785920e-03	1.767666e+00
5.749999002005173e-03	1.791469e+00
5.749999979893877e-03	1.798939e+00
5.750000003176941e-03	1.807566e+00
5.750001003176942e-03	2.860803e+00
